Arquivo,Numero,Tema
preposicao_1.pdf,501.00004.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2022)
preposicao_2.pdf,501.00003.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2016)
preposicao_3.pdf,501.00002.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2014)
preposicao_4.pdf,501.00001.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2012)
preposicao_5.pdf,013.00004.2024,Lei Orçamentária Anual para 2025.
preposicao_6.pdf,013.00003.2024,Alteração da Lei de Diretrizes Orçamentárias para 2025
preposicao_7.pdf,013.00002.2024,Abertura de Crédito Adicional Suplementar para despesas da Lei Orçamentária Anual (Exercício de 2024).
preposicao_8.pdf,013.00001.2024,Diretrizes para Elaboração e Execução da Lei Orçamentária Anual para 2025.
preposicao_9.pdf,005.00247.2021,Compartilhamento de bicicletas em vias e logradouros públicos no Município de Curitiba.
preposicao_10.pdf,005.00223.2023,Instalação de espaço playpet em praças e espaços públicos.
preposicao_11.pdf,005.00218.2023,Alienação de área de terreno à LRB Participações Societárias e Investimentos Imobiliários S/A
